timestamp,n_customers,n_stations,inst_seed,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T22:18:35,20,3,420,0,76.4061,35.46,1,17,1,1
2026-05-24T22:19:17,20,3,420,1,76.4061,41.97,1,17,1,1
2026-05-24T22:19:59,20,3,420,2,75.8207,41.95,1,12,2,1
2026-05-24T22:20:31,20,3,420,3,78.5109,32.39,1,16,1,1
2026-05-24T22:21:04,20,3,420,4,76.4061,32.51,1,16,1,1
2026-05-24T22:21:34,20,3,420,5,76.0961,30.5,1,16,1,1
2026-05-24T22:22:21,20,3,420,6,76.4061,46.84,1,17,1,1
2026-05-24T22:22:54,20,3,420,7,86.4877,33.14,1,17,1,1
2026-05-24T22:23:31,20,3,420,8,78.3037,36.81,1,13,2,1
2026-05-24T22:23:50,20,3,420,9,79.0523,19.11,1,14,2,0
2026-05-24T22:24:23,20,3,420,10,78.3052,32.55,1,12,2,1
2026-05-24T22:25:07,20,3,420,11,76.4061,44.08,1,17,1,1
2026-05-24T22:25:46,20,3,420,12,76.436,38.75,1,17,1,1
2026-05-24T22:26:15,20,3,420,13,78.3052,29.11,1,14,2,1
2026-05-24T22:26:36,20,3,420,14,76.6144,21.41,1,17,1,1
2026-05-24T22:27:18,20,3,420,15,76.0396,41.74,1,16,1,1
2026-05-24T22:28:00,20,3,420,16,76.4061,41.92,1,17,1,1
2026-05-24T22:28:37,20,3,420,17,82.1407,36.64,1,14,2,0
2026-05-24T22:29:09,20,3,420,18,76.4061,31.83,1,17,1,1
2026-05-24T22:29:42,20,3,420,19,76.436,33.2,1,17,1,1
2026-05-24T22:30:06,20,3,420,20,79.5461,23.9,1,13,1,1
2026-05-24T22:30:29,20,3,420,21,76.436,23.18,1,17,1,1
2026-05-24T22:31:02,20,3,420,22,76.2953,33.39,1,14,1,1
2026-05-24T22:31:36,20,3,420,23,76.0396,33.48,1,15,1,1
2026-05-24T22:32:15,20,3,420,24,76.4061,38.76,1,17,1,1
2026-05-24T22:32:46,20,3,420,25,76.4598,31.25,1,16,1,1
2026-05-24T22:33:32,20,3,420,26,76.4061,45.73,1,17,1,1
2026-05-24T22:33:59,20,3,420,27,78.3037,27.35,1,14,2,1
2026-05-24T22:34:25,20,3,420,28,78.4282,25.41,1,14,2,1
2026-05-24T22:34:47,20,3,420,29,76.8937,22.37,1,16,1,1
