timestamp,n_customers,n_stations,inst_seed,beta,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T19:39:38,15,2,42,0.5,42,65.1479,4.11,1,15,0,0
2026-05-24T19:39:42,15,2,42,0.5,99,68.9473,3.32,1,13,1,0
2026-05-24T19:39:46,15,2,42,0.5,123,66.4685,4.57,1,13,1,0
2026-05-24T19:39:52,15,2,42,0.5,7,67.0339,5.33,1,13,1,0
2026-05-24T19:39:57,15,2,42,0.5,13,66.9303,5.1,1,12,1,0
2026-05-24T19:40:02,15,2,42,0.7,42,65.1479,5.04,1,15,0,0
2026-05-24T19:40:06,15,2,42,0.7,99,65.6663,4.15,1,10,1,0
2026-05-24T19:40:11,15,2,42,0.7,123,65.6663,5.12,1,13,1,0
2026-05-24T19:40:15,15,2,42,0.7,7,66.4685,4.09,1,13,1,0
2026-05-24T19:40:21,15,2,42,0.7,13,64.753,5.95,1,12,1,0
2026-05-24T19:40:26,15,2,42,1.0,42,63.8393,5.22,1,12,1,0
2026-05-24T19:40:33,15,2,42,1.0,99,64.753,6.32,1,11,1,0
2026-05-24T19:40:40,15,2,42,1.0,123,65.6663,7.22,1,13,1,0
2026-05-24T19:40:45,15,2,42,1.0,7,66.7193,5.4,1,13,1,0
2026-05-24T19:40:50,15,2,42,1.0,13,65.6663,4.48,1,9,1,0
2026-05-24T19:40:55,15,2,42,1.5,42,63.8393,5.19,1,12,1,0
2026-05-24T19:41:04,15,2,42,1.5,99,63.8393,8.76,1,12,1,0
2026-05-24T19:41:10,15,2,42,1.5,123,63.8393,6.04,1,12,1,0
2026-05-24T19:41:19,15,2,42,1.5,7,65.4583,9.08,1,13,1,0
2026-05-24T19:41:25,15,2,42,1.5,13,63.8393,5.58,1,12,1,0
2026-05-24T19:41:30,15,2,42,2.0,42,63.8393,5.28,1,12,1,0
2026-05-24T19:41:39,15,2,42,2.0,99,63.8393,8.72,1,12,1,0
2026-05-24T19:41:45,15,2,42,2.0,123,63.8393,6.16,1,12,1,0
2026-05-24T19:41:55,15,2,42,2.0,7,64.753,10.56,1,12,1,0
2026-05-24T19:42:01,15,2,42,2.0,13,63.8393,5.81,1,12,1,0
2026-05-24T19:42:07,15,2,42,2.5,42,63.8393,5.32,1,12,1,0
2026-05-24T19:42:16,15,2,42,2.5,99,63.8393,8.88,1,12,1,0
2026-05-24T19:42:22,15,2,42,2.5,123,63.8393,6.2,1,12,1,0
2026-05-24T19:42:32,15,2,42,2.5,7,64.753,10.54,1,12,1,0
2026-05-24T19:42:38,15,2,42,2.5,13,63.8393,5.54,1,12,1,0
2026-05-24T19:42:43,15,2,42,3.0,42,63.8393,5.17,1,12,1,0
2026-05-24T19:42:52,15,2,42,3.0,99,63.8393,8.77,1,12,1,0
2026-05-24T19:42:58,15,2,42,3.0,123,63.8393,6.15,1,12,1,0
2026-05-24T19:43:09,15,2,42,3.0,7,64.753,10.58,1,12,1,0
2026-05-24T19:43:15,15,2,42,3.0,13,63.8393,5.92,1,12,1,0
2026-05-24T19:43:20,15,2,42,3.5,42,63.8393,5.16,1,12,1,0
2026-05-24T19:43:29,15,2,42,3.5,99,63.8393,8.87,1,12,1,0
2026-05-24T19:43:36,15,2,42,3.5,123,63.8393,7.15,1,12,1,0
2026-05-24T19:43:49,15,2,42,3.5,7,64.753,12.76,1,12,1,0
2026-05-24T19:43:55,15,2,42,3.5,13,63.8393,5.93,1,12,1,0
2026-05-24T19:44:00,15,2,42,5.0,42,63.8393,5.42,1,12,1,0
2026-05-24T19:44:09,15,2,42,5.0,99,63.8393,9.02,1,12,1,0
2026-05-24T19:44:15,15,2,42,5.0,123,63.8393,6.39,1,12,1,0
2026-05-24T19:44:26,15,2,42,5.0,7,64.753,10.7,1,12,1,0
2026-05-24T19:44:32,15,2,42,5.0,13,63.8393,5.75,1,12,1,0
2026-05-24T19:44:52,20,3,42,0.3,42,77.7539,19.98,1,13,1,4
2026-05-24T19:45:09,20,3,42,0.3,99,79.9669,17.37,1,11,2,2
2026-05-24T19:45:31,20,3,42,0.3,123,70.815,22.19,1,17,1,0
2026-05-24T19:45:59,20,3,42,0.3,7,74.5333,27.44,1,18,0,2
2026-05-24T19:46:24,20,3,42,0.3,13,73.9714,25.19,1,19,0,1
2026-05-24T19:46:36,20,3,42,0.5,42,73.9777,11.78,1,14,2,0
2026-05-24T19:46:50,20,3,42,0.5,99,77.9679,13.94,1,15,1,1
2026-05-24T19:47:14,20,3,42,0.5,123,74.6313,23.94,1,17,1,0
2026-05-24T19:47:33,20,3,42,0.5,7,70.3817,18.88,1,16,2,0
2026-05-24T19:47:46,20,3,42,0.5,13,73.8049,13.06,1,16,2,0
2026-05-24T19:48:14,20,3,42,0.7,42,70.9459,28.22,1,16,1,1
2026-05-24T19:48:31,20,3,42,0.7,99,76.0839,16.98,1,11,3,1
2026-05-24T19:48:52,20,3,42,0.7,123,70.5066,21.18,1,17,1,0
2026-05-24T19:49:19,20,3,42,0.7,7,71.1758,27.13,1,16,1,0
2026-05-24T19:49:39,20,3,42,0.7,13,70.5066,19.34,1,17,1,0
2026-05-24T19:49:57,20,3,42,3.5,42,68.5262,18.57,1,17,1,0
2026-05-24T19:50:24,20,3,42,3.5,99,70.6239,26.77,1,16,1,1
2026-05-24T19:50:48,20,3,42,3.5,123,70.5066,23.37,1,17,1,0
2026-05-24T19:51:18,20,3,42,3.5,7,70.5066,30.33,1,17,1,0
2026-05-24T19:51:51,20,3,42,3.5,13,70.9459,33.31,1,16,1,1
2026-05-24T19:52:47,30,4,42,0.3,42,92.4568,55.46,1,17,4,0
2026-05-24T19:53:24,30,4,42,0.3,99,91.9091,37.56,1,16,4,2
2026-05-24T19:54:11,30,4,42,0.3,123,91.5314,46.57,1,21,3,1
2026-05-24T19:55:11,30,4,42,0.3,7,90.4265,60.14,1,18,4,1
2026-05-24T19:55:52,30,4,42,0.3,13,94.016,41.05,1,18,4,0
2026-05-24T19:56:24,30,4,42,0.5,42,93.8372,32.16,1,20,3,0
2026-05-24T19:57:25,30,4,42,0.5,99,88.6603,60.43,1,20,4,0
2026-05-24T19:58:52,30,4,42,0.5,123,86.8272,87.4,1,27,1,0
2026-05-24T20:00:08,30,4,42,0.5,7,87.7543,76.19,1,27,1,0
2026-05-24T20:01:17,30,4,42,0.5,13,85.9727,68.27,1,27,1,0
2026-05-24T20:02:32,30,4,42,0.7,42,87.6759,75.23,1,27,1,0
2026-05-24T20:03:42,30,4,42,0.7,99,85.7789,69.89,1,27,1,0
2026-05-24T20:05:22,30,4,42,0.7,123,85.4,100.16,1,26,1,0
2026-05-24T20:06:47,30,4,42,0.7,7,85.2886,84.51,1,25,2,0
2026-05-24T20:07:37,30,4,42,0.7,13,85.1486,50.82,1,20,3,0
2026-05-24T20:09:04,30,4,42,3.5,42,86.4972,86.4,1,27,1,0
2026-05-24T20:10:58,30,4,42,3.5,99,86.1326,113.91,1,27,1,0
2026-05-24T20:12:14,30,4,42,3.5,123,86.2527,75.9,1,25,2,0
2026-05-24T20:13:08,30,4,42,3.5,7,88.1314,54.12,1,24,2,0
2026-05-24T20:13:53,30,4,42,3.5,13,84.865,44.61,1,21,3,0
