timestamp,n_customers,n_stations,inst_seed,R,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-25T00:06:20,5,2,42,3,10,55.0932,0.02,1,3,1,0
2026-05-25T00:06:20,5,2,42,3,11,49.9289,0.05,1,3,1,0
2026-05-25T00:06:21,5,2,42,3,12,51.3218,0.03,1,3,1,0
2026-05-25T00:06:21,5,2,42,3,13,55.0932,0.04,1,3,1,0
2026-05-25T00:06:21,5,2,42,3,14,51.3218,0.03,1,3,1,0
2026-05-25T00:06:21,5,2,42,5,10,51.3218,0.06,1,3,1,0
2026-05-25T00:06:21,5,2,42,5,11,49.9289,0.06,1,3,1,0
2026-05-25T00:06:21,5,2,42,5,12,51.3218,0.05,1,3,1,0
2026-05-25T00:06:21,5,2,42,5,13,51.3218,0.08,1,3,1,0
2026-05-25T00:06:21,5,2,42,5,14,49.9289,0.09,1,3,1,0
2026-05-25T00:06:21,5,2,42,10,10,51.3218,0.08,1,3,1,0
2026-05-25T00:06:21,5,2,42,10,11,49.9289,0.11,1,3,1,0
2026-05-25T00:06:21,5,2,42,10,12,49.9289,0.1,1,3,1,0
2026-05-25T00:06:21,5,2,42,10,13,51.3218,0.1,1,3,1,0
2026-05-25T00:06:22,5,2,42,10,14,49.9289,0.13,1,3,1,0
2026-05-25T00:06:22,5,2,42,17,10,51.3218,0.2,1,3,1,0
2026-05-25T00:06:22,5,2,42,17,11,49.9289,0.24,1,3,1,0
2026-05-25T00:06:22,5,2,42,17,12,49.9289,0.17,1,3,1,0
2026-05-25T00:06:22,5,2,42,17,13,51.3218,0.18,1,3,1,0
2026-05-25T00:06:23,5,2,42,17,14,49.9289,0.19,1,3,1,0
2026-05-25T00:06:23,5,2,42,25,10,51.3218,0.29,1,3,1,0
2026-05-25T00:06:23,5,2,42,25,11,49.9289,0.28,1,3,1,0
2026-05-25T00:06:24,5,2,42,25,12,49.9289,0.3,1,3,1,0
2026-05-25T00:06:24,5,2,42,25,13,51.3218,0.22,1,3,1,0
2026-05-25T00:06:24,5,2,42,25,14,49.9289,0.22,1,3,1,0
2026-05-25T00:06:25,5,2,42,50,10,49.9289,0.57,1,3,1,0
2026-05-25T00:06:25,5,2,42,50,11,49.9289,0.46,1,3,1,0
2026-05-25T00:06:26,5,2,42,50,12,49.9289,0.5,1,3,1,0
2026-05-25T00:06:26,5,2,42,50,13,49.9289,0.49,1,3,1,0
2026-05-25T00:06:27,5,2,42,50,14,49.9289,0.44,1,3,1,0
2026-05-25T00:06:28,5,2,42,100,10,49.9289,1.0,1,3,1,0
2026-05-25T00:06:29,5,2,42,100,11,49.9289,1.26,1,3,1,0
2026-05-25T00:06:30,5,2,42,100,12,49.9289,1.01,1,3,1,0
2026-05-25T00:06:31,5,2,42,100,13,49.9289,0.94,1,3,1,0
2026-05-25T00:06:32,5,2,42,100,14,49.9289,0.99,1,3,1,0
