timestamp,n_customers,n_stations,inst_seed,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T21:53:01,20,3,420,0,76.4061,13.78,1,17,1,1
2026-05-24T21:53:14,20,3,420,1,77.3706,13.75,1,14,2,1
2026-05-24T21:53:26,20,3,420,2,76.8913,11.93,1,16,1,1
2026-05-24T21:53:32,20,3,420,3,83.0118,5.56,1,19,0,1
2026-05-24T21:53:41,20,3,420,4,78.3037,9.46,1,14,2,1
2026-05-24T21:53:48,20,3,420,5,76.0961,6.38,1,16,1,1
2026-05-24T21:53:56,20,3,420,6,82.4114,8.5,1,16,1,1
2026-05-24T21:54:02,20,3,420,7,86.4877,5.14,1,17,1,1
2026-05-24T21:54:14,20,3,420,8,78.3037,12.95,1,13,2,1
2026-05-24T21:54:22,20,3,420,9,79.0523,7.79,1,14,2,0
2026-05-24T21:54:32,20,3,420,10,79.6355,9.26,1,12,2,1
2026-05-24T21:54:48,20,3,420,11,76.4598,16.07,1,16,1,1
2026-05-24T21:54:58,20,3,420,12,76.436,9.93,1,17,1,1
2026-05-24T21:55:05,20,3,420,13,79.2197,7.77,1,14,2,0
2026-05-24T21:55:14,20,3,420,14,76.6144,8.7,1,17,1,1
2026-05-24T21:55:28,20,3,420,15,76.0961,14.25,1,16,1,1
2026-05-24T21:55:45,20,3,420,16,76.4061,16.81,1,17,1,1
2026-05-24T21:55:49,20,3,420,17,82.1407,3.38,1,14,2,0
2026-05-24T21:55:59,20,3,420,18,76.4061,10.02,1,17,1,1
2026-05-24T21:56:09,20,3,420,19,78.3037,9.82,1,14,2,1
2026-05-24T21:56:14,20,3,420,20,82.7597,5.74,1,12,2,0
2026-05-24T21:56:18,20,3,420,21,88.0484,4.14,1,16,1,1
2026-05-24T21:56:30,20,3,420,22,76.2953,11.37,1,14,1,1
2026-05-24T21:56:42,20,3,420,23,76.4061,12.12,1,17,1,1
2026-05-24T21:56:49,20,3,420,24,82.7589,7.11,1,17,1,1
2026-05-24T21:56:59,20,3,420,25,76.4598,10.4,1,16,1,1
2026-05-24T21:57:15,20,3,420,26,76.4061,15.36,1,17,1,1
2026-05-24T21:57:23,20,3,420,27,78.3037,7.65,1,14,2,1
2026-05-24T21:57:32,20,3,420,28,78.4282,9.14,1,14,2,1
2026-05-24T21:57:36,20,3,420,29,80.1919,4.51,1,14,2,1
