timestamp,instance_label,n_customers,n_stations,inst_seed,meta_seed,phase_I_cost,iteration,current_cost,incumbent_cost,elapsed_s,improved_by
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,0,47.70370853565837,47.70370853565837,0.021,III
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,1,42.807875881049725,42.807875881049725,0.321,III
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,2,69.81480103764761,42.807875881049725,0.323,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,3,69.81480103764761,42.807875881049725,0.325,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,4,42.807875881049725,42.807875881049725,0.341,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,5,65.92306967708593,42.807875881049725,0.343,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,6,65.92306967708593,42.807875881049725,0.344,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,7,59.80449523161565,42.807875881049725,0.346,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,8,74.2778673614632,42.807875881049725,0.348,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,9,74.2778673614632,42.807875881049725,0.349,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,10,47.1770133605192,42.807875881049725,0.405,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,11,45.84556974775463,42.807875881049725,0.413,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,12,52.09367859548466,42.807875881049725,0.444,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,13,49.35707179646171,42.807875881049725,0.451,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,14,45.84556974775463,42.807875881049725,0.453,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,15,50.91392197125559,42.807875881049725,0.467,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,16,50.91392197125559,42.807875881049725,0.469,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,17,71.29564472955863,42.807875881049725,0.479,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,18,65.74711924510756,42.807875881049725,0.48,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,19,44.28871957296075,42.807875881049725,0.493,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,20,74.62229160956115,42.807875881049725,0.548,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,21,59.5005752070367,42.807875881049725,0.564,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,22,76.16185503986367,42.807875881049725,0.567,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,23,83.86590437641487,42.807875881049725,0.57,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,24,55.49706322778816,42.807875881049725,0.617,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,25,76.16185503986367,42.807875881049725,0.619,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,26,86.63976127731806,42.807875881049725,0.621,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,27,86.63976127731806,42.807875881049725,0.624,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,28,69.74916385211344,42.807875881049725,0.663,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,29,53.65052877027854,42.807875881049725,0.705,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,30,69.74916385211344,42.807875881049725,0.748,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,31,63.829661651546225,42.807875881049725,0.78,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,32,53.65052877027854,42.807875881049725,0.783,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,33,49.14024248358388,42.807875881049725,0.794,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,34,49.14024248358388,42.807875881049725,0.796,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,35,53.65052877027854,42.807875881049725,0.799,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,36,51.380773901218554,42.807875881049725,0.801,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,37,45.54448268007267,42.807875881049725,0.813,
