timestamp,n_customers,n_stations,seed,config,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-27T00:12:13,15,4,42,truck_only,6,338.9337,2.8,2,15,0,0
2026-05-27T00:12:16,15,4,42,truck_only,7,344.9996,2.9,2,15,0,0
2026-05-27T00:12:19,15,4,42,truck_only,8,344.1686,2.76,2,15,0,0
2026-05-27T00:12:21,15,4,42,truck_only,9,340.0066,2.82,2,15,0,0
2026-05-27T00:12:26,15,4,99,all,5,375.2296,4.37,3,13,2,0
2026-05-27T00:12:30,15,4,99,all,6,294.5083,4.21,3,13,2,0
2026-05-27T00:12:34,15,4,99,all,7,397.1104,3.95,4,12,3,0
2026-05-27T00:12:38,15,4,99,all,8,261.4322,4.31,3,13,2,0
2026-05-27T00:12:43,15,4,99,all,9,378.3224,4.35,4,15,0,0
2026-05-27T00:12:46,15,4,99,no_drone,5,454.2349,3.49,4,15,0,0
2026-05-27T00:12:50,15,4,99,no_drone,6,456.4315,3.38,4,15,0,0
2026-05-27T00:12:53,15,4,99,no_drone,7,428.6084,3.51,4,15,0,0
2026-05-27T00:12:57,15,4,99,no_drone,8,437.1753,3.46,4,15,0,0
2026-05-27T00:13:00,15,4,99,no_drone,9,398.6197,3.49,4,15,0,0
2026-05-27T00:13:05,15,4,99,no_robot,5,350.6414,4.52,2,13,2,0
2026-05-27T00:13:09,15,4,99,no_robot,6,365.6896,4.0,3,12,3,0
2026-05-27T00:13:12,15,4,99,no_robot,7,445.9554,3.58,4,15,0,0
2026-05-27T00:13:17,15,4,99,no_robot,8,382.0811,4.36,3,13,2,0
2026-05-27T00:13:21,15,4,99,no_robot,9,311.0037,4.33,4,13,2,0
2026-05-27T00:13:24,15,4,99,truck_only,5,454.2349,3.47,4,15,0,0
2026-05-27T00:13:28,15,4,99,truck_only,6,456.4315,3.44,4,15,0,0
2026-05-27T00:13:31,15,4,99,truck_only,7,428.6084,3.52,4,15,0,0
2026-05-27T00:13:35,15,4,99,truck_only,8,437.1753,3.47,4,15,0,0
2026-05-27T00:13:38,15,4,99,truck_only,9,398.6197,3.49,4,15,0,0
2026-05-27T00:13:44,15,4,123,all,5,402.8896,5.67,3,13,1,1
2026-05-27T00:13:50,15,4,123,all,6,403.451,5.66,3,14,0,1
2026-05-27T00:13:55,15,4,123,all,7,391.1311,5.68,3,11,2,2
2026-05-27T00:14:01,15,4,123,all,8,311.3507,5.95,2,13,1,1
2026-05-27T00:14:07,15,4,123,all,9,428.8321,5.59,3,14,0,1
2026-05-27T00:14:12,15,4,123,no_drone,4,418.481,5.27,3,14,0,1
2026-05-27T00:14:18,15,4,123,no_drone,5,363.7269,5.33,3,14,0,1
2026-05-27T00:14:23,15,4,123,no_drone,6,404.8542,5.38,3,14,0,1
2026-05-27T00:14:28,15,4,123,no_drone,7,367.6147,5.24,3,14,0,1
2026-05-27T00:14:34,15,4,123,no_drone,8,319.4447,5.46,2,14,0,1
2026-05-27T00:14:39,15,4,123,no_drone,9,327.2331,5.48,3,14,0,1
2026-05-27T00:14:44,15,4,123,no_robot,0,347.3219,5.27,3,13,2,0
2026-05-27T00:14:50,15,4,123,no_robot,1,319.7026,5.17,2,15,0,0
2026-05-27T00:14:55,15,4,123,no_robot,2,439.6973,5.09,3,15,0,0
2026-05-27T00:15:00,15,4,123,no_robot,3,427.8367,5.0,3,15,0,0
2026-05-27T00:15:05,15,4,123,no_robot,4,431.4925,5.11,3,15,0,0
2026-05-27T00:15:10,15,4,123,no_robot,5,393.2064,5.01,3,15,0,0
2026-05-27T00:15:15,15,4,123,no_robot,6,310.5629,5.26,2,15,0,0
2026-05-27T00:15:20,15,4,123,no_robot,7,433.3551,4.97,3,14,1,0
2026-05-27T00:15:25,15,4,123,no_robot,8,431.2475,5.27,3,15,0,0
2026-05-27T00:15:31,15,4,123,no_robot,9,308.8255,5.16,2,15,0,0
2026-05-27T00:15:36,15,4,123,truck_only,0,440.8211,5.05,3,15,0,0
2026-05-27T00:15:41,15,4,123,truck_only,1,407.0585,5.03,3,15,0,0
2026-05-27T00:15:46,15,4,123,truck_only,2,445.0716,5.08,3,15,0,0
2026-05-27T00:15:51,15,4,123,truck_only,3,431.8455,5.28,3,15,0,0
2026-05-27T00:15:56,15,4,123,truck_only,4,434.6127,5.03,3,15,0,0
2026-05-27T00:16:01,15,4,123,truck_only,5,429.1528,4.96,3,15,0,0
2026-05-27T00:16:07,15,4,123,truck_only,6,439.6421,5.7,3,15,0,0
2026-05-27T00:16:12,15,4,123,truck_only,7,448.0458,4.98,3,15,0,0
2026-05-27T00:16:17,15,4,123,truck_only,8,430.5487,5.06,3,15,0,0
2026-05-27T00:16:22,15,4,123,truck_only,9,430.7993,5.1,3,15,0,0
