timestamp,n_customers,n_stations,seed,ws_config,status,obj_val,obj_bound,mip_gap_pct,runtime_s,n_nodes,n_vars,n_constrs,n_bin_vars,n_int_vars,vi_config
2026-05-25T07:21:54,15,2,99,milp_ws_vi,TIME_LIMIT,56.2468,-inf,inf,601.12,0,502032,1325909,497616,497616,vi_all
2026-05-25T07:34:24,15,2,123,milp_base,TIME_LIMIT,,,,600.46,0,502032,934288,497616,497616,none
2026-05-25T07:47:04,15,2,123,milp_ws,TIME_LIMIT,64.7392,-inf,inf,601.13,0,502032,934288,497616,497616,none
2026-05-25T07:59:52,15,2,123,milp_vi,TIME_LIMIT,,,,603.8,0,502032,1325909,497616,497616,vi_all
2026-05-25T08:12:48,15,2,123,milp_ws_vi,TIME_LIMIT,64.7392,-inf,inf,604.69,0,502032,1325909,497616,497616,vi_all
2026-05-25T08:25:19,15,2,321,milp_base,TIME_LIMIT,,,,600.43,0,502032,934288,497616,497616,none
2026-05-25T08:38:02,15,2,321,milp_ws,TIME_LIMIT,67.8405,-inf,inf,601.14,0,502032,934288,497616,497616,none
2026-05-25T08:50:49,15,2,321,milp_vi,TIME_LIMIT,,,,600.5,0,502032,1325909,497616,497616,vi_all
2026-05-25T09:03:47,15,2,321,milp_ws_vi,TIME_LIMIT,67.8405,-inf,inf,601.16,0,502032,1325909,497616,497616,vi_all
2026-05-25T09:44:26,7,2,42,milp_base,TIME_LIMIT,51.5029,13.9856,72.84,600.45,31780,39504,70520,38064,38064,none
2026-05-25T09:54:32,7,2,42,milp_ws,TIME_LIMIT,49.3113,13.9549,71.7,600.32,31388,39504,70520,38064,38064,none
2026-05-25T10:04:38,7,2,42,milp_vi,TIME_LIMIT,51.2945,42.1761,17.78,600.33,34918,39504,94693,38064,38064,vi_all
2026-05-25T10:14:44,7,2,42,milp_ws_vi,TIME_LIMIT,49.3113,45.634,7.46,600.4,41219,39504,94693,38064,38064,vi_all
2026-05-25T10:24:50,7,2,99,milp_base,TIME_LIMIT,38.9495,11.8354,69.61,600.26,16700,39504,70520,38064,38064,none
2026-05-25T10:34:56,7,2,99,milp_ws,TIME_LIMIT,38.6623,11.9626,69.06,600.35,23596,39504,70520,38064,38064,none
2026-05-25T10:45:02,7,2,99,milp_vi,TIME_LIMIT,38.8706,27.6872,28.77,600.26,15516,39504,94693,38064,38064,vi_all
2026-05-25T10:55:08,7,2,99,milp_ws_vi,TIME_LIMIT,38.6623,29.6092,23.42,600.2,18729,39504,94693,38064,38064,vi_all
2026-05-25T11:05:13,7,2,123,milp_base,TIME_LIMIT,60.0133,15.2914,74.52,600.14,16327,39504,70520,38064,38064,none
2026-05-25T11:15:19,7,2,123,milp_ws,TIME_LIMIT,53.7374,15.1849,71.74,600.3,14542,39504,70520,38064,38064,none
2026-05-25T11:25:25,7,2,123,milp_vi,TIME_LIMIT,55.2973,39.5828,28.42,600.2,22618,39504,94693,38064,38064,vi_all
2026-05-25T11:35:33,7,2,123,milp_ws_vi,TIME_LIMIT,53.7374,41.3721,23.01,600.24,21292,39504,94693,38064,38064,vi_all
2026-05-25T11:45:38,7,2,321,milp_base,TIME_LIMIT,42.1464,11.9653,71.61,600.42,52584,39504,70520,38064,38064,none
2026-05-25T11:55:44,7,2,321,milp_ws,TIME_LIMIT,42.1464,12.3671,70.66,600.25,55234,39504,70520,38064,38064,none
2026-05-25T12:05:50,7,2,321,milp_vi,TIME_LIMIT,42.1464,39.0266,7.4,600.26,29301,39504,94693,38064,38064,vi_all
2026-05-25T12:15:57,7,2,321,milp_ws_vi,TIME_LIMIT,42.1464,36.9975,12.22,600.42,40264,39504,94693,38064,38064,vi_all
